,filename,drop_rate,throughput,RTT,varients,cbr_rate,simulation
51,ex1_newreno_cbr5mb_simulation2.tr,0.0075458138699245406,4.3,0.07597410505451059,newreno,5mb,simulation2
52,ex1_vegas_cbr7mb_simulation2.tr,0.0,2.8,0.06642502690582823,vegas,7mb,simulation2
53,ex1_reno_cbr7mb_simulation2.tr,0.013290113452188008,2.4,0.07642736050516806,reno,7mb,simulation2
54,ex1_tahoe_cbr7mb_simulation2.tr,0.012662337662337665,2.4,0.07747670087976742,tahoe,7mb,simulation2
55,ex1_newreno_cbr7mb_simulation2.tr,0.012075259758494805,2.8,0.07791719160885485,newreno,7mb,simulation2
56,ex1_vegas_cbr8mb_simulation2.tr,0.0,1.9,0.06870909302325695,vegas,8mb,simulation2
57,ex1_reno_cbr8mb_simulation2.tr,0.024582104228121928,1.5,0.07650977587262732,reno,8mb,simulation2
58,ex1_tahoe_cbr8mb_simulation2.tr,0.022354014598540143,1.7,0.0766335939196528,tahoe,8mb,simulation2
59,ex1_newreno_cbr8mb_simulation2.tr,0.022249690976514216,1.8,0.08068458037578266,newreno,8mb,simulation2
60,ex1_vegas_cbr1mb_simulation3.tr,0.0,6.2727272727272725,0.06307775911653032,vegas,1mb,simulation3
61,ex1_reno_cbr1mb_simulation3.tr,0.0039986290414714964,6.2727272727272725,0.07071396743456887,reno,1mb,simulation3
62,ex1_tahoe_cbr1mb_simulation3.tr,0.0036713633657471717,7.2727272727272725,0.07499411355541774,tahoe,1mb,simulation3
63,ex1_newreno_cbr1mb_simulation3.tr,0.003601080324097229,7.181818181818182,0.07408431856160963,newreno,1mb,simulation3
64,ex1_vegas_cbr3mb_simulation3.tr,0.0,5.909090909090909,0.0645267037717363,vegas,3mb,simulation3
65,ex1_reno_cbr3mb_simulation3.tr,0.005070014485755674,5.909090909090909,0.07540593481061733,reno,3mb,simulation3
66,ex1_tahoe_cbr3mb_simulation3.tr,0.0062139369729249895,4.818181818181818,0.07547164860167614,tahoe,3mb,simulation3
67,ex1_newreno_cbr3mb_simulation3.tr,0.005070014485755674,5.909090909090909,0.07540593481061733,newreno,3mb,simulation3
68,ex1_vegas_cbr5mb_simulation3.tr,0.0,4.454545454545454,0.06641275064268133,vegas,5mb,simulation3
69,ex1_reno_cbr5mb_simulation3.tr,0.009525660964230171,3.6363636363636362,0.07473392631579039,reno,5mb,simulation3
70,ex1_tahoe_cbr5mb_simulation3.tr,0.009699129057798891,3.6363636363636362,0.07521327718689019,tahoe,5mb,simulation3
71,ex1_newreno_cbr5mb_simulation3.tr,0.00821827744904668,4.363636363636363,0.07564825621203804,newreno,5mb,simulation3
72,ex1_vegas_cbr7mb_simulation3.tr,0.0,2.8181818181818183,0.06644800811564641,vegas,7mb,simulation3
73,ex1_reno_cbr7mb_simulation3.tr,0.012062033314187249,2.4545454545454546,0.07675616977985494,reno,7mb,simulation3
74,ex1_tahoe_cbr7mb_simulation3.tr,0.011624441132637857,2.3636363636363638,0.07660200571236751,tahoe,7mb,simulation3
75,ex1_newreno_cbr7mb_simulation3.tr,0.011221627135934713,2.727272727272727,0.07867828694874943,newreno,7mb,simulation3
76,ex1_vegas_cbr8mb_simulation3.tr,0.0,1.9090909090909092,0.06864239879608937,vegas,8mb,simulation3
77,ex1_reno_cbr8mb_simulation3.tr,0.02357207615593835,1.5454545454545454,0.07745257977528124,reno,8mb,simulation3
78,ex1_tahoe_cbr8mb_simulation3.tr,0.022825150732127483,1.6363636363636365,0.07627159308240092,tahoe,8mb,simulation3
79,ex1_newreno_cbr8mb_simulation3.tr,0.021028914757791964,1.8181818181818181,0.0808869085741351,newreno,8mb,simulation3
80,ex1_vegas_cbr1mb_simulation4.tr,0.0,6.2,0.06307909939252801,vegas,1mb,simulation4
81,ex1_reno_cbr1mb_simulation4.tr,0.0045721750489875895,6.0,0.07063153045650225,reno,1mb,simulation4
82,ex1_tahoe_cbr1mb_simulation4.tr,0.0041198084845785535,7.1,0.07512584190003697,tahoe,1mb,simulation4
83,ex1_newreno_cbr1mb_simulation4.tr,0.0038597265108072346,7.2,0.07368919925512236,newreno,1mb,simulation4
84,ex1_vegas_cbr3mb_simulation4.tr,0.0,5.8,0.0644527586065007,vegas,3mb,simulation4
85,ex1_reno_cbr3mb_simulation4.tr,0.005655042412818096,5.8,0.07442375043377836,reno,3mb,simulation4
86,ex1_tahoe_cbr3mb_simulation4.tr,0.006902356902356902,4.6,0.07325020170197452,tahoe,3mb,simulation4
87,ex1_newreno_cbr3mb_simulation4.tr,0.005655042412818096,5.8,0.07442375043377836,newreno,3mb,simulation4
88,ex1_vegas_cbr5mb_simulation4.tr,0.0,4.4,0.06632487229863199,vegas,5mb,simulation4
89,ex1_reno_cbr5mb_simulation4.tr,0.0075458138699245406,4.3,0.07597410505451059,reno,5mb,simulation4
90,ex1_tahoe_cbr5mb_simulation4.tr,0.00890723441233978,3.6,0.07356636945107471,tahoe,5mb,simulation4
91,ex1_newreno_cbr5mb_simulation4.tr,0.0075458138699245406,4.3,0.07597410505451059,newreno,5mb,simulation4
92,ex1_vegas_cbr7mb_simulation4.tr,0.0,2.8,0.06642502690582823,vegas,7mb,simulation4
93,ex1_reno_cbr7mb_simulation4.tr,0.013290113452188008,2.4,0.07642736050516806,reno,7mb,simulation4
94,ex1_tahoe_cbr7mb_simulation4.tr,0.012662337662337665,2.4,0.07747670087976742,tahoe,7mb,simulation4
95,ex1_newreno_cbr7mb_simulation4.tr,0.012075259758494805,2.8,0.07791719160885485,newreno,7mb,simulation4
96,ex1_vegas_cbr8mb_simulation4.tr,0.0,1.9,0.06870909302325695,vegas,8mb,simulation4
97,ex1_reno_cbr8mb_simulation4.tr,0.024582104228121928,1.5,0.07650977587262732,reno,8mb,simulation4
98,ex1_tahoe_cbr8mb_simulation4.tr,0.022354014598540143,1.7,0.0766335939196528,tahoe,8mb,simulation4
99,ex1_newreno_cbr8mb_simulation4.tr,0.022249690976514216,1.8,0.08068458037578266,newreno,8mb,simulation4
100,ex1_vegas_cbr1mb_simulation5.tr,0.0,6.0,0.06308150758803553,vegas,1mb,simulation5
101,ex1_reno_cbr1mb_simulation5.tr,0.005257623554153523,5.777777777777778,0.0717201336760936,reno,1mb,simulation5
102,ex1_tahoe_cbr1mb_simulation5.tr,0.004664061515189714,7.0,0.07666144172274604,tahoe,1mb,simulation5
103,ex1_newreno_cbr1mb_simulation5.tr,0.0043892651116127415,7.0,0.07197483553069803,newreno,1mb,simulation5
104,ex1_vegas_cbr3mb_simulation5.tr,0.0,5.666666666666667,0.06435864448254308,vegas,3mb,simulation5
105,ex1_reno_cbr3mb_simulation5.tr,0.006393667224843964,5.777777777777778,0.07523563296558662,reno,3mb,simulation5
106,ex1_tahoe_cbr3mb_simulation5.tr,0.008070866141732283,4.444444444444445,0.07247835072711761,tahoe,3mb,simulation5
107,ex1_newreno_cbr3mb_simulation5.tr,0.006393667224843964,5.777777777777778,0.07523563296558662,newreno,3mb,simulation5
108,ex1_vegas_cbr5mb_simulation5.tr,0.0,4.333333333333333,0.06621490952955991,vegas,5mb,simulation5
109,ex1_reno_cbr5mb_simulation5.tr,0.008500303582270795,4.222222222222222,0.07508671841155376,reno,5mb,simulation5
110,ex1_tahoe_cbr5mb_simulation5.tr,0.010306686777275012,3.4444444444444446,0.07365317384013449,tahoe,5mb,simulation5
111,ex1_newreno_cbr5mb_simulation5.tr,0.008500303582270795,4.222222222222222,0.07508671841155376,newreno,5mb,simulation5
112,ex1_vegas_cbr7mb_simulation5.tr,0.0,2.7777777777777777,0.06639664766676999,vegas,7mb,simulation5
113,ex1_reno_cbr7mb_simulation5.tr,0.01461675579322638,2.4444444444444446,0.0778489885008531,reno,7mb,simulation5
114,ex1_tahoe_cbr7mb_simulation5.tr,0.014157973174366616,2.3333333333333335,0.07620053537937055,tahoe,7mb,simulation5
115,ex1_newreno_cbr7mb_simulation5.tr,0.013039428748835765,2.7777777777777777,0.07867077367458991,newreno,7mb,simulation5
116,ex1_vegas_cbr8mb_simulation5.tr,0.0,1.8888888888888888,0.06879124003707147,vegas,8mb,simulation5
117,ex1_reno_cbr8mb_simulation5.tr,0.027870680044593088,1.4444444444444444,0.07767237500000014,reno,8mb,simulation5
118,ex1_tahoe_cbr8mb_simulation5.tr,0.024120603015075376,1.6666666666666667,0.07679002766085405,tahoe,8mb,simulation5
119,ex1_newreno_cbr8mb_simulation5.tr,0.02357207615593835,1.8888888888888888,0.0806298592848904,newreno,8mb,simulation5
120,ex1_vegas_cbr1mb_simulation6.tr,0.0,6.0,0.06307918387751849,vegas,1mb,simulation6
121,ex1_reno_cbr1mb_simulation6.tr,0.005903941279719164,5.764705882352941,0.07288336106831099,reno,1mb,simulation6
122,ex1_tahoe_cbr1mb_simulation6.tr,0.004930703624733476,6.9411764705882355,0.07742479271070597,tahoe,1mb,simulation6
123,ex1_newreno_cbr1mb_simulation6.tr,0.004808976756612343,6.9411764705882355,0.07157292780862982,newreno,1mb,simulation6
124,ex1_vegas_cbr3mb_simulation6.tr,0.0,5.647058823529412,0.06430076032781322,vegas,3mb,simulation6
125,ex1_reno_cbr3mb_simulation6.tr,0.007452703993884961,4.823529411764706,0.07208103200836849,reno,3mb,simulation6
126,ex1_tahoe_cbr3mb_simulation6.tr,0.006712535660345695,5.529411764705882,0.07597342248346868,tahoe,3mb,simulation6
127,ex1_newreno_cbr3mb_simulation6.tr,0.0066536838688737426,5.647058823529412,0.0767139444148477,newreno,3mb,simulation6
128,ex1_vegas_cbr5mb_simulation6.tr,0.0,4.352941176470588,0.06384379073756381,vegas,5mb,simulation6
129,ex1_reno_cbr5mb_simulation6.tr,0.009505292719809894,4.235294117647059,0.07526889028820694,reno,5mb,simulation6
130,ex1_tahoe_cbr5mb_simulation6.tr,0.012264922322158629,3.2941176470588234,0.07544959804520532,tahoe,5mb,simulation6
131,ex1_newreno_cbr5mb_simulation6.tr,0.009505292719809894,4.235294117647059,0.07526889028820694,newreno,5mb,simulation6
132,ex1_vegas_cbr7mb_simulation6.tr,0.0,2.823529411764706,0.06637975282767714,vegas,7mb,simulation6
133,ex1_reno_cbr7mb_simulation6.tr,0.014796102490075787,2.4705882352941178,0.0778871037005176,reno,7mb,simulation6
134,ex1_tahoe_cbr7mb_simulation6.tr,0.015224358974358976,2.235294117647059,0.07700259307159461,tahoe,7mb,simulation6
135,ex1_newreno_cbr7mb_simulation6.tr,0.013576158940397352,2.7058823529411766,0.07794888661417446,newreno,7mb,simulation6
136,ex1_vegas_cbr8mb_simulation6.tr,0.0,1.8823529411764706,0.06883988981800243,vegas,8mb,simulation6
137,ex1_reno_cbr8mb_simulation6.tr,0.028392958546280524,1.5294117647058822,0.07769141125541136,reno,8mb,simulation6
138,ex1_tahoe_cbr8mb_simulation6.tr,0.025974025974025976,1.6470588235294117,0.07664131499672576,tahoe,8mb,simulation6
139,ex1_newreno_cbr8mb_simulation6.tr,0.024170616113744083,1.8823529411764706,0.08065666187050327,newreno,8mb,simulation6
140,ex1_vegas_cbr1mb_simulation7.tr,0.0,6.5,0.06307636542400784,vegas,1mb,simulation7
141,ex1_reno_cbr1mb_simulation7.tr,0.003629764065335753,6.5,0.07230148118308255,reno,1mb,simulation7
142,ex1_tahoe_cbr1mb_simulation7.tr,0.0033992307004204318,7.333333333333333,0.07606115328192804,tahoe,1mb,simulation7
143,ex1_newreno_cbr1mb_simulation7.tr,0.0032540902106119496,7.333333333333333,0.07309715369299483,newreno,1mb,simulation7
144,ex1_vegas_cbr3mb_simulation7.tr,0.0,6.0,0.06458622572439718,vegas,3mb,simulation7
145,ex1_reno_cbr3mb_simulation7.tr,0.0048775080368030155,5.916666666666667,0.07611562048549565,reno,3mb,simulation7
146,ex1_tahoe_cbr3mb_simulation7.tr,0.006029049054535489,4.75,0.07497647343704285,tahoe,3mb,simulation7
147,ex1_newreno_cbr3mb_simulation7.tr,0.0048775080368030155,5.916666666666667,0.07611562048549565,newreno,3mb,simulation7
148,ex1_vegas_cbr5mb_simulation7.tr,0.0,4.5,0.06389326328079924,vegas,5mb,simulation7
149,ex1_reno_cbr5mb_simulation7.tr,0.00880974695407685,3.5,0.07510074291710409,reno,5mb,simulation7
150,ex1_tahoe_cbr5mb_simulation7.tr,0.00837390457643622,3.3333333333333335,0.07471521705757056,tahoe,5mb,simulation7
